date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2016-01-11 00:00:00 +0000,326,2,188,157869,,25171.752,492,56808,39731,13982.687,10303,5854.885,201072.649,1116,43,1494,1452,29,13854,389,175,205,2360,202,16731.375,15695,295,378,18035.262,5037.772,115119.508,89,994.351
2016-01-12 00:00:00 +0000,321,2,162,136315,,22641.131,532,51372,36086,13219.592,7499,5740.711,181032.288,925,46,1751,1355,26,12164,384,192,198,2517,205,17047.445,13827,307,328,17409.433,4629.32,117820.556,52,950.985
2016-01-13 00:00:00 +0000,298,4,150,132266,,22593.586,647,49034,37263,11727.557,7171,6379.315,174299.275,887,48,1260,1454,35,11608,373,259,253,3212,153,15277.045,12817,292,321,16679.07,5240.732,146877.639,78,1088.098
2016-01-14 00:00:00 +0000,295,4,134,120609,,20479.134,823,46046,32814,11362.138,6282,5688.049,156517.984,892,40,1103,1163,21,10649,320,162,201,3016,240,17434.076,11599,344,327,15253.95,4845.714,92251.723,72,983.855
2016-01-15 00:00:00 +0000,306,13,177,141955,,22726.25,906,53181,38229,14797.624,8289,8304.882,179900.482,1041,43,1998,1457,28,11587,376,249,214,7277,323,25854.497,13206,301,398,25129.603,5802.541,105489.716,77,1390.505
2016-01-16 00:00:00 +0000,536,20,292,220308,,31100.719,1286,78987,55373,19065.658,10884,12448.304,262108.866,1371,55,1908,2062,42,18991,647,396,302,11321,523,21513.404,22908,516,658,27064.96,7472.782,147971.546,125,1569.908
2016-01-17 00:00:00 +0000,571,13,341,251345,,37815.476,700,83023,62574,21861.099,13272,9845.015,296780.623,1406,65,1583,2182,41,21402,838,303,303,,459,22316.445,25195,572,762,30229.262,7687.31,162589.366,218,1704.747
2016-01-18 00:00:00 +0000,296,7,209,158492,,25053.496,534,57898,41062,14244.042,9675,6221.603,199216.618,1003,47,1080,1482,33,13827,325,186,228,2340,270,16564.767,15416,299,367,19828.32,5040.219,117358.909,90,1090.256
2016-01-19 00:00:00 +0000,277,12,198,136240,,22443.274,551,50055,35093,12288.385,7656,6210.095,176148.616,926,41,1319,1375,24,11708,271,153,230,2433,226,15086.372,13286,267,345,16791.604,4575.249,113662.496,66,971.66
2016-01-20 00:00:00 +0000,335,9,272,143371,,24535.381,691,56389,42167,12921.117,8192,7652.059,202818.498,864,46,1009,1471,24,13383,316,264,256,2843,358,16549.069,15286,323,391,19184.018,5547.27,159968.81,106,1201.791
2016-01-21 00:00:00 +0000,306,9,167,115821,,20289.228,601,46948,31816,11258.923,6501,5298.237,154029.367,877,25,1275,1304,21,10726,247,126,250,3110,324,16612.17,12670,261,320,15048.878,4845.668,90733.813,55,944.485
2016-01-22 00:00:00 +0000,329,9,166,135214,,22693.43,835,53383,37956,14525.85,7640,7569.928,171250.134,1095,42,1218,1294,19,11344,389,321,285,7135,371,23336.503,12900,354,409,24079.801,5549.214,105194.371,61,1462.197
2016-01-23 00:00:00 +0000,523,14,290,204449,,29442.695,1136,74931,53118,18280.055,10432,11155.85,250648.181,1302,75,1664,2303,48,17771,975,395,297,10338,458,20282.672,21049,519,603,24568.958,7185.296,140918.28,106,1476.847
2016-01-24 00:00:00 +0000,566,21,279,231483,,35201.105,616,76949,58360,20640.3,12627,8522.569,269822.866,1342,61,1303,2192,50,20023,1173,245,271,,357,21710.604,23427,514,630,26975.205,7006.735,156731.199,169,1659.175
2016-01-25 00:00:00 +0000,303,12,159,141976,,24731.331,470,53385,38122,14045.029,9354,5253.183,183926.533,937,36,881,1132,18,12851,509,176,232,2251,280,16395.863,14463,282,412,17779.671,5008.368,111649.042,82,978.667
2016-01-26 00:00:00 +0000,347,10,154,128256,,21938.672,561,49320,34650,12257.852,7462,5067.422,167851.858,929,55,891,1097,18,11584,467,163,247,2471,248,15037.438,13726,270,358,16328.674,4755.732,111866.772,69,1008.368
2016-01-27 00:00:00 +0000,298,8,149,129324,,22215.799,782,49442,37369,11158.038,7420,5829.26,167202.089,938,52,1030,1175,22,10988,527,322,216,3171,226,15119.606,12654,250,342,15906.201,5195.281,146746.772,86,1089.632
2016-01-28 00:00:00 +0000,314,10,130,113870,,19690.379,748,45338,30730,10416.437,6079,5381.132,147342.729,974,51,1062,1256,22,9758,466,165,185,3587,208,16037.148,11468,247,311,14117.364,4825.863,87981.746,67,871.051
2016-01-29 00:00:00 +0000,325,7,146,137022,,23194.705,1008,53658,37184,14774.434,8110,7503.621,182896.504,1037,55,1335,1313,28,11610,427,287,295,7036,286,22650.42,13230,228,367,23909.945,5639.173,103429.102,54,1446.854
2016-01-30 00:00:00 +0000,542,16,290,209541,,31066.643,1194,85311,54447,19717.874,11058,11492.193,282682.646,1321,81,1695,2458,37,20638,975,353,351,10022,386,21217.344,25003,452,627,25783.281,7341.912,142242.59,115,1480.894
2016-01-31 00:00:00 +0000,683,9,361,245481,,38235.529,701,94331,62378,22644.31,13009,9284.123,316827.105,1334,81,1615,2535,64,24154,1186,343,413,,358,23832.117,29251,526,665,29158.431,7691.991,164056.608,194,1809.015
2016-02-01 00:00:00 +0000,433,11,203,182638,,28707.817,606,79530,46755,18429.001,12350,6861.383,262715.744,1123,73,1229,2066,34,19177,537,205,293,3424,237,20178.727,23487,359,436,22987.034,6045.002,129611.955,77,1243.652
2016-02-02 00:00:00 +0000,408,16,198,154284,,24323.983,673,70322,39758,15465.817,8746,6295.958,226869.889,1054,61,1160,1734,28,16226,447,190,307,3097,210,18976.315,20238,301,422,23780.421,5256.688,123144.296,81,1158.841
2016-02-03 00:00:00 +0000,405,17,172,149974,,24888.357,737,67153,41328,13984.294,7946,6675.642,218438.255,1003,48,1325,2064,37,14869,434,273,310,5602,201,16933.094,18339,334,428,21143.866,5797.221,150232.335,104,1164.875
2016-02-04 00:00:00 +0000,381,13,181,134005,,21973.759,682,61809,34566,12907.723,7225,6210.934,189314.288,856,69,1185,1611,23,12922,383,227,282,4738,249,24358.416,15296,321,414,21209.9,5707.086,90242.804,64,901.257
2016-02-05 00:00:00 +0000,446,16,215,167256,,25033.271,903,66307,40987,16002.742,9495,9190.299,212188.512,1159,73,1300,1652,25,13736,372,360,337,10720,413,25275.033,15934,330,423,28529.368,6416.834,111939.893,54,1497.556
2016-02-06 00:00:00 +0000,596,17,294,207438,,28754.708,918,85778,50177,18641.297,10634,12693.756,270244.338,1232,74,2027,2414,39,18800,587,402,420,16254,521,20700.798,22452,464,640,28894.691,7463.217,130977.224,71,1335.047
2016-02-07 00:00:00 +0000,409,18,236,152830,,22290.427,526,60619,37008,14446.061,8360,9254.744,196975.541,977,54,1150,1672,29,13628,451,339,227,11208,325,16470.452,16099,308,472,23534.858,5626.956,101176.929,64,1006.663
2016-02-08 00:00:00 +0000,419,13,196,133559,,20594.548,686,51913,34709,13298.996,8787,7630.576,179694.609,888,87,1165,1480,34,11948,506,319,273,9929,275,15403.008,13573,299,468,23284.632,5299.625,98661.047,71,1078.636
2016-02-09 00:00:00 +0000,507,8,273,157846,,25672.237,600,58834,41755,15740.475,10433,7003.026,213773.579,1211,72,1178,2330,42,14750,760,281,226,,307,16837.467,17103,361,571,21110.184,5797.881,130201.497,65,1290.294
2016-02-10 00:00:00 +0000,395,19,206,154782,,27565.529,859,61942,44005,14592.089,9941,6677.556,221570.756,1041,61,968,1899,37,14884,492,261,268,3524,264,16838.618,16561,329,456,21169.907,5328.869,162649.265,85,1317.125
2016-02-11 00:00:00 +0000,378,9,197,132974,,22655.526,755,53753,36659,12360.238,7885,5832.691,194112.377,985,49,1781,1714,35,12524,426,175,231,3606,260,16426.771,13752,273,397,16272.613,4889.937,103859.265,60,1087.953
2016-02-12 00:00:00 +0000,396,6,180,144742,,23665.856,1012,53855,39685,13916.998,8329,7954.741,203111.89,1261,70,1052,1606,25,11980,436,397,236,6573,246,23527.206,13014,268,398,22574.415,5573.488,110361.467,63,1636.009
2016-02-13 00:00:00 +0000,506,14,246,190061,,28448.95,1247,64395,50369,16576.247,9947,10655.918,253712.534,1409,95,1474,2184,37,15969,681,496,307,11134,495,18523.594,17699,398,523,21301.872,6762.266,131784.494,123,1448.152
2016-02-14 00:00:00 +0000,500,5,298,219933,,32300.274,740,68459,55662,19208.366,11446,9095.455,274389.572,1378,88,1124,1967,45,18276,945,424,334,,584,19917.383,20888,374,602,24702.935,6889.324,147827.219,182,1629.971
2016-02-15 00:00:00 +0000,341,23,211,166667,,26083.661,578,59576,41876,15255.653,10335,5973.109,216906.481,1024,67,954,1685,25,14511,467,170,272,2668,354,16338.244,16061,262,424,18564.885,5185.391,122453.712,116,1243.154
2016-02-16 00:00:00 +0000,368,16,235,150444,,24620.357,563,57548,40448,14227.94,8352,6017.771,208609.541,1014,49,927,1617,28,14082,449,140,358,2880,340,16766.593,15404,270,406,18742.053,5333.227,127452.064,111,1293.34
2016-02-17 00:00:00 +0000,360,17,205,142628,,24579.123,668,54296,41807,12556.866,8472,6568.267,197609.707,930,70,932,1670,38,12683,476,171,280,3549,341,16211.782,14052,273,432,18064.847,5173.077,157338.88,109,1233.173
2016-02-18 00:00:00 +0000,368,22,178,124212,,20883.504,776,44868,32708,11673.667,6437,5615.332,164390.699,894,62,869,1375,35,10369,354,159,225,3604,244,16680.098,11124,226,384,14842.647,4593.037,90950.925,67,882.769
2016-02-19 00:00:00 +0000,356,9,228,146081,,23171.387,875,49933,38815,14558.521,8211,7715.352,184538.157,993,94,922,1381,27,11254,357,284,315,6210,306,23728.281,12092,240,405,23932.985,5336.5,108399.681,79,1662.27
2016-02-20 00:00:00 +0000,497,13,301,203285,,29175.781,1190,68680,52132,16974.723,10158,11126.191,251560.286,1317,120,1272,2063,38,16927,820,383,350,9665,559,19291.811,18312,371,526,22723.852,6978.237,135390.418,117,1472.922
2016-02-21 00:00:00 +0000,584,14,388,234842,,34413.258,702,72947,60376,19970.02,12364,8541.989,284126.734,1368,94,1518,1819,42,19558,1166,325,364,,566,21110.187,21907,405,654,26784.141,6982.782,155580.967,164,1707.192
2016-02-22 00:00:00 +0000,407,15,238,153189,,24988.66,564,54051,41517,14623.77,10107,5690.12,204008.43,1032,51,859,1374,32,13297,450,185,259,2629,303,16564.045,13873,273,404,17478.691,5043.304,114161.765,88,1151.851
2016-02-23 00:00:00 +0000,336,15,205,134845,,21698.637,595,49708,36933,13306.359,7696,5608.114,186082.85,798,66,960,1453,26,11981,474,199,372,2661,250,15540.375,12561,220,357,18960.253,4786.393,111520.917,79,1035.163
2016-02-24 00:00:00 +0000,344,8,180,137272,,23333.079,841,48756,40103,12254.644,7910,5976.482,182948.03,1061,54,1047,1359,27,11777,451,295,278,3093,297,15491.275,12266,233,393,16762.62,5332.306,144254.789,98,1077.153
2016-02-25 00:00:00 +0000,299,13,157,120695,,20388.914,729,43262,32755,11225.797,6486,5455.181,162385.525,813,70,951,1101,21,10147,427,196,246,3433,356,16770.55,10693,188,315,14622.97,4570.742,88207.78,65,913.869
2016-02-26 00:00:00 +0000,275,9,176,137555,,23327.805,957,47050,38299,14396.128,8344,7210.136,175730.956,1146,71,1127,1220,20,10496,414,317,256,7196,430,22083.082,11353,257,346,23629.626,5195.129,101550.407,58,1427.533
2016-02-27 00:00:00 +0000,518,25,304,208705,,30473.342,1089,71249,54938,17585.77,10593,11447.969,262987.933,1277,83,1517,1663,44,17465,936,375,338,11527,727,20001.24,19636,383,549,23481.578,6846.288,138361.5,153,1424.449
2016-02-28 00:00:00 +0000,581,18,380,229672,,35826.064,653,74400,62079,20358.102,12710,8455.922,288013.308,1359,102,1453,1803,39,20059,1244,281,344,,678,21204.572,23045,411,722,26531.244,7003.714,153230.932,208,1637.869
2016-02-29 00:00:00 +0000,372,19,221,158195,,26613.271,381,58014,42771,14891.174,10278,5445.416,215583.564,1072,80,995,1281,38,14522,496,148,300,2543,377,16805.439,16350,228,418,18337.017,5115.623,113484.165,139,1106.089
2016-03-01 00:00:00 +0000,478,26,313,179419,,29700.793,725,77991,50067,19057.058,10111,6842.324,281908.06,1133,55,1234,1392,36,19204,650,214,330,3281,425,20690.978,22703,322,480,25350.193,5920.776,136427.101,118,1323.36
2016-03-02 00:00:00 +0000,428,7,291,170183,,29574.06,716,72681,49731,16679.229,9388,7038.77,261201.044,1118,64,1368,1449,31,17766,584,313,371,3743,437,19205.905,20578,325,513,21372.696,6060.166,163822.38,113,1300.115
2016-03-03 00:00:00 +0000,429,27,211,135577,,24125.238,674,57650,38585,14083.024,7732,5621.199,210149.586,941,70,1204,1074,17,13492,465,199,309,3618,325,19170.724,16097,318,376,17376.605,4785.04,95856.224,91,916.112
2016-03-04 00:00:00 +0000,360,22,226,152201,,26265.544,1144,59212,44098,16565.452,9189,7808.218,217479.873,1002,71,1603,1283,16,13736,439,294,312,8711,390,26192.219,15603,324,473,27077.127,5803.142,107956.753,96,1593.468
2016-03-05 00:00:00 +0000,646,22,366,227024,,34010.704,1217,83237,61647,19875.347,11330,11460.047,310035.22,1486,84,1798,1825,28,21184,1053,397,405,10656,614,22894.288,25239,425,687,26651.52,7044.093,143532.676,179,1567.782
2016-03-06 00:00:00 +0000,653,33,361,245308,,38449.485,781,84223,67308,22609.415,13138,8750.243,321403.911,1411,118,1660,1755,30,22180,1297,280,430,,547,23491.565,26617,461,693,28538.199,7184.927,157286.188,276,1684.576
2016-03-07 00:00:00 +0000,345,19,197,155266,,27755.539,466,58665,44468,15672.174,10846,5790.76,227335.73,1098,62,1246,1159,21,14384,510,222,273,2730,320,17239.743,16413,293,448,18248.793,5193.133,110206.517,104,1129.135
2016-03-08 00:00:00 +0000,308,10,173,132163,,22949.644,635,49677,37520,12238.014,7801,5857.285,191799.819,929,69,1114,1193,15,11786,509,336,201,3536,261,15178.114,13055,245,373,19033.083,4794.272,107501.382,86,944.732
2016-03-09 00:00:00 +0000,339,17,164,137198,,24457.301,712,50717,42972,12691.484,7888,5950.165,189025.518,1076,73,1135,1128,26,12203,447,276,270,3669,250,15009.568,13058,274,438,17094.496,5361.02,149485.47,104,1136.827
2016-03-10 00:00:00 +0000,323,12,175,119723,,21495.05,667,44327,34751,11717.945,6914,5230.235,170078.721,1026,59,1246,1048,17,10913,418,158,245,4359,350,16455.276,12261,205,382,14429.206,4565.485,87946.894,73,921.045
2016-03-11 00:00:00 +0000,286,14,176,141062,,23819.166,984,47857,40821,14612.998,8573,7881.571,185561.196,983,49,1215,1080,14,10873,440,333,266,7503,465,22672.465,11438,178,414,23864.271,5354.456,104588.002,50,1465.388
2016-03-12 00:00:00 +0000,511,28,275,201038,,31789.727,1263,67196,56057,17469.394,10449,10603.259,260840.698,1126,90,1816,1962,22,16849,903,379,301,10009,609,19796.43,19220,381,606,23340.514,6927.21,134620.912,145,1477.966
2016-03-13 00:00:00 +0000,537,34,316,223273,,36102.231,718,68686,61082,18908.489,12371,8194.59,277080.813,1271,104,1557,1713,30,18592,1110,302,327,,548,20225.646,20994,437,713,24760.147,6552.548,146734.015,173,1533.851
2016-03-14 00:00:00 +0000,312,9,225,144170,,25588.578,477,51191,41376,13814.605,9554,5133.384,195250.187,874,37,1114,1194,17,12665,477,136,225,2341,333,15606.03,13570,298,392,16778.076,5099.612,108624.431,80,1104.49
2016-03-15 00:00:00 +0000,311,10,177,135828,,24406.87,701,50816,39464,13473.923,8260,5298.688,194401.932,884,73,1138,2615,15,12488,564,178,258,2712,315,15616.2,13727,264,440,19685.085,5087.987,117789.997,88,1097.021
2016-03-16 00:00:00 +0000,330,22,203,147195,,26265.203,625,53659,45079,13171.206,9395,6138.962,203217.46,985,42,1241,1182,16,12715,432,281,239,3558,276,16178.186,14176,288,359,18413.949,5507.749,157275.823,89,1249.84
2016-03-17 00:00:00 +0000,287,14,162,121907,,21999.915,669,45367,35153,11684.857,6929,5299.251,171098.721,899,67,1495,960,8,10594,439,207,250,3755,267,16287.629,11722,272,371,15198.985,4759.553,91250.204,66,1013.417
2016-03-18 00:00:00 +0000,312,7,208,143712,,24248.76,1102,49327,40912,14667.373,8190,7562.164,186072.919,1044,71,1395,1139,10,10691,430,292,206,6896,272,21597.437,11624,262,403,22355.785,5848.711,104260.86,65,1572.81
2016-03-19 00:00:00 +0000,506,13,279,202664,,29532.714,1176,68480,54779,16531.587,10718,10479.523,258009.331,1262,100,2830,1425,9,17084,902,330,299,10535,397,19002.529,19714,366,557,22641.356,7297.396,135441.03,143,1535.046
2016-03-20 00:00:00 +0000,477,14,341,216151,,34067.363,778,68872,58803,18266.398,11766,8288.333,268138.842,1175,89,1536,1855,19,18201,1047,271,301,,364,19041.136,21123,441,626,24465.186,7203.705,144129.311,169,1586.308
2016-03-21 00:00:00 +0000,323,14,222,148126,,24501.339,512,54827,41429,13083.858,10621,5403.094,205495.301,961,53,1164,1140,13,13348,515,202,204,2946,245,15114.359,14859,287,428,16765.562,5303.129,111077.182,78,1208.977
2016-03-22 00:00:00 +0000,355,9,155,130755,,21369.396,516,48236,37334,11453.921,7683,5051.195,180395.586,877,68,1305,1023,8,11189,463,243,227,3253,215,12536.833,12730,240,401,16711.097,5278.769,111574.369,68,971.671
2016-03-23 00:00:00 +0000,358,11,186,148247,,23527.82,722,51618,46142,10842.22,8999,6160.094,201357.405,925,74,1547,1337,10,12249,399,252,197,5137,196,12344.103,12953,328,401,15166.867,6801.621,144964.366,44,1384.678
2016-03-24 00:00:00 +0000,355,4,187,149854,,22130.332,766,45448,43056,11245.815,9283,7431.201,193502.016,975,50,1387,1365,8,11305,350,279,189,12619,271,12822.967,11027,302,381,12921.385,7536.301,101982.996,45,1410.832
2016-03-25 00:00:00 +0000,441,5,210,149515,,22210.52,758,42080,41614,12331.81,10059,7503.139,175260.391,1079,74,1253,1316,8,11229,408,274,205,7624,221,13820.62,11619,295,434,17403.979,6793.631,95766.147,80,1632.963
2016-03-26 00:00:00 +0000,404,7,240,182196,,28149.18,924,60528,48960,16330.727,10316,9802.715,228098.999,1163,87,1512,1577,15,15784,729,430,231,9940,264,17433.533,16323,370,537,21241.142,6681.11,118603.251,122,1133.86
2016-03-27 00:00:00 +0000,479,5,314,195375,,31568.035,583,60561,52787,17032.23,10913,7289.708,236363.068,1279,78,1361,1491,12,17084,884,296,229,,182,17321.007,17899,371,533,22689.654,6370.038,130471.5,155,1359.825
2016-03-28 00:00:00 +0000,275,6,181,143196,,25474.638,568,51263,41420,13095.555,10175,5234.468,187080.173,847,56,1051,1046,12,13375,378,196,181,2691,140,15425.511,13019,264,342,16419.072,4912.718,111591.956,97,1044.775
2016-03-29 00:00:00 +0000,298,8,180,130183,,22307.213,559,46810,36899,12534.412,7798,5464.355,170623.586,807,57,934,1128,6,11602,398,215,209,5632,130,14402.555,11433,253,356,18109.072,4729.233,116029.631,68,1003.006
2016-03-30 00:00:00 +0000,280,9,208,129972,,23982.084,518,48857,40582,11633.47,7979,5638.071,177508.797,1000,64,1270,1183,7,11857,423,320,173,2877,145,13991.312,12271,299,376,16113.171,4981.796,144538.472,67,1014.816
2016-03-31 00:00:00 +0000,312,4,211,129134,,22874.195,730,50636,36964,13070.959,7397,5440.98,181818.285,858,59,1162,1137,7,12801,441,180,220,3199,203,16689.482,14040,289,390,15853.955,4753.034,95477.331,86,936.117
2016-04-01 00:00:00 +0000,449,11,312,178237,,28952.325,1171,72864,49964,20038.717,10637,8660.406,264279.916,1232,52,1675,1438,7,17919,528,329,300,7267,291,27827.796,19969,354,554,30692.601,6291.649,118196.643,87,1880.267
2016-04-02 00:00:00 +0000,690,18,472,247315,,36650.9,1204,100464,67068,22819.348,12946,11744.853,359878.225,1493,115,2314,2273,12,25800,1068,365,369,10404,369,24093.992,30040,578,736,28772.816,7854.717,150942.295,189,1765.435
2016-04-03 00:00:00 +0000,732,14,557,280881,,43150.051,771,104807,76947,25888.079,15387,9529.956,392994.414,1693,136,1836,2282,21,28495,1464,278,395,,362,25268.064,33078,647,915,30579.117,8392.255,176939.269,317,2152.087
2016-04-04 00:00:00 +0000,356,19,293,168081,,28239.235,673,68759,46247,16175.311,11258,5798.959,247443.082,1041,64,1193,1595,10,17207,589,151,263,2885,211,16227.907,18689,409,466,18397.97,5558.061,115502.605,152,1283.062
2016-04-05 00:00:00 +0000,349,9,244,146023,,25021.497,561,60934,41083,14546.962,8055,5698.897,220949.001,1040,62,1325,1331,4,15060,483,227,232,2933,169,16197.026,16566,330,418,20135.085,5384.271,119102.362,127,1150
2016-04-06 00:00:00 +0000,324,12,233,145034,,24725.356,659,57540,43471,13235.746,8551,5945.766,215699.211,1143,70,1147,1253,5,13560,489,263,257,3301,197,17022.771,15212,324,458,18216.431,5554.702,149529.686,133,1219.174
2016-04-07 00:00:00 +0000,275,8,195,122792,,20965.261,813,47851,35450,12159.119,6667,5133.181,175785.098,913,65,1102,1189,6,11085,412,180,240,3411,242,17396.705,12652,347,400,15704.93,4837.942,88619.741,111,931.743
2016-04-08 00:00:00 +0000,328,10,211,149302,,23564.665,954,51857,41287,14886.887,8207,7190.903,192404.955,1152,66,1424,1345,3,12013,493,286,280,6523,298,25668.806,12746,285,403,25699.441,5821.976,103357.6,100,1558.963
2016-04-09 00:00:00 +0000,525,9,335,209669,,30968.577,1180,72966,56917,18831.96,10818,10521.556,274315.641,1319,80,1761,2269,8,18594,905,329,373,9836,417,20319.937,20374,484,566,23419.672,6992.145,131206.644,177,1494.257
2016-04-10 00:00:00 +0000,504,11,372,236767,,35802.267,725,73620,64165,20648.479,13610,8547.33,297001.111,1450,82,1443,1758,10,20144,1078,246,339,,370,21731.682,22827,452,639,26921.317,7200.763,148433.07,278,1700.72
2016-04-11 00:00:00 +0000,299,10,219,146607,,24960.968,582,51863,41106,13650.547,10374,4885.021,196110.698,970,79,1353,1152,3,13095,374,202,224,2453,243,14984.545,13521,270,451,16814.021,4984.195,102232.947,107,1169.022
2016-04-12 00:00:00 +0000,327,17,209,134193,,23774.224,710,49165,38840,13424.27,7746,5136.86,194133.805,1012,64,1105,1309,8,11967,450,209,256,3211,272,15097.563,12112,264,406,19220.065,4934.256,110990.876,106,987.115
2016-04-13 00:00:00 +0000,292,13,181,138348,,23391.769,621,47931,41333,12183.021,7696,5679.616,187170.338,1063,64,1090,1130,3,11452,344,255,250,3120,277,14406.589,11882,330,396,16119.579,5017.264,139401.999,123,1047.306
2016-04-14 00:00:00 +0000,331,11,157,115020,,20955.967,593,42239,33992,11014.191,6635,5494.071,160391.858,876,51,1497,1189,,9888,331,193,223,3653,254,16073.484,10752,306,350,14096.723,4869.177,84260.696,213,875.042
2016-04-15 00:00:00 +0000,328,4,218,136320,,23796.557,896,49940,40764,15073.501,8203,7691.761,190298.324,1169,65,1458,1185,3,11923,356,308,256,7070,387,23142.157,12335,318,366,24893.256,5553.067,101533.077,320,1432.6
2016-04-16 00:00:00 +0000,478,12,335,186935,,28870.712,1097,69536,52697,16779.393,9956,9910.172,255095.579,1217,81,1845,1599,4,17176,824,408,368,9582,549,19142.916,19601,395,603,22560.459,6708.175,125909.358,420,1426.728
2016-04-17 00:00:00 +0000,498,10,384,308788,,39600.63,481,84246,66718,21067.846,14433,8429.363,456372.94,1336,149,1411,1651,8,25541,1023,262,339,,492,21135.106,28333,548,1615,28469.846,7344.466,149059.295,487,1601.247
2016-04-18 00:00:00 +0000,323,11,277,303298,,32891.639,391,99271,48515,16337.142,12667,5716.673,583222.48,1139,113,1726,1793,8,37252,513,147,268,2151,340,18383.539,39291,378,1183,19544.17,5219.562,112011.006,337,1202.394
2016-04-19 00:00:00 +0000,252,17,253,301533,,28770.589,590,82541,41421,14509.345,9235,5567.261,432782.685,1022,108,1551,1523,19,30139,519,153,311,2480,254,17036.893,35384,322,895,20877.916,5014.361,115438.438,481,1088.72
2016-04-20 00:00:00 +0000,300,17,261,249845,,29698.121,634,76651,46264,13898.163,9250,5952.338,368663.09,1087,80,1308,1486,14,25802,468,270,264,2960,296,17582.465,34403,318,805,19794.591,5836.465,146636.594,315,1266.463
2016-04-21 00:00:00 +0000,331,13,207,213186,,25312.69,536,68670,37275,12560.111,7510,5241.248,438060.075,847,68,1275,1667,17,21313,420,163,267,3023,226,16281.048,30088,265,708,16540.407,4858.667,89936.25,352,915.286
2016-04-22 00:00:00 +0000,306,6,224,191154,,26541.368,887,60855,40268,14879.442,8310,6928.115,296335.113,1056,68,1263,1208,11,17938,375,300,232,6276,252,23642.466,22603,280,725,24682.9,5541.072,102203.618,300,1408.15
